wavelength_nm,intensity
402.0,0.0071
403.1,0.0077
404.0,0.0084
404.9,0.0097
406.0,0.0117
407.0,0.0111
408.1,0.0144
409.0,0.017
410.0,0.0184
411.1,0.0204
412.0,0.0237
413.0,0.0277
414.1,0.031
415.0,0.035
415.9,0.0377
417.0,0.0443
418.0,0.0489
419.1,0.0549
420.0,0.0616
421.0,0.0689
422.1,0.0769
423.0,0.0848
424.0,0.0955
425.1,0.1021
426.0,0.1147
426.9,0.1254
428.0,0.14
429.0,0.1539
430.1,0.1686
431.0,0.1891
432.0,0.2044
433.1,0.2184
434.0,0.241
435.0,0.2589
436.1,0.2809
437.0,0.3041
437.9,0.3347
439.0,0.3613
440.0,0.3878
440.9,0.4191
442.0,0.4583
443.0,0.4942
444.1,0.5321
445.0,0.5639
446.0,0.5965
447.1,0.6258
448.0,0.6397
448.9,0.657
450.0,0.659
451.0,0.6556
451.9,0.6457
453.0,0.6331
454.0,0.6111
455.1,0.5912
456.0,0.5799
457.0,0.5666
458.1,0.5679
459.0,0.5606
459.9,0.5719
461.0,0.5806
462.0,0.5985
462.9,0.6171
464.0,0.6424
465.0,0.669
466.1,0.7028
467.0,0.7294
468.0,0.7607
469.1,0.8012
470.0,0.845
470.9,0.8729
472.0,0.9068
473.0,0.9374
473.9,0.9587
475.0,0.9833
476.0,0.9919
477.1,1.0
478.0,0.9985
479.0,0.9866
480.1,0.9786
481.0,0.96
481.9,0.9394
483.0,0.9141
484.0,0.8829
484.9,0.865
486.0,0.8284
487.0,0.8065
488.1,0.7826
489.0,0.7653
490.0,0.744
491.1,0.7248
492.0,0.7088
492.9,0.6935
494.0,0.6769
495.0,0.6556
495.9,0.6457
497.0,0.6357
498.0,0.6271
499.1,0.6151
500.0,0.6025
501.0,0.5945
502.1,0.5872
503.0,0.5799
503.9,0.5719
505.0,0.5673
506.0,0.5646
506.9,0.5586
508.0,0.5586
509.0,0.5593
510.1,0.5593
511.0,0.5593
512.0,0.5586
513.1,0.5586
514.0,0.5653
515.0,0.5606
516.0,0.5626
517.0,0.5653
517.9,0.5693
519.0,0.5706
520.0,0.5686
521.1,0.5726
522.0,0.5766
523.0,0.5772
524.1,0.5779
525.0,0.5832
526.0,0.5865
527.0,0.5832
528.0,0.5905
528.9,0.5905
530.0,0.5958
531.0,0.6011
532.1,0.6005
533.0,0.6018
534.0,0.6031
535.1,0.6071
536.0,0.6058
537.0,0.6124
538.1,0.6151
539.0,0.6144
539.9,0.6204
541.0,0.6231
542.0,0.6244
