wavelength_nm,intensity
743.0,0.1434
743.9,0.1401
745.0,0.1361
746.0,0.1322
746.9,0.1289
748.0,0.125
749.0,0.121
749.9,0.1184
751.0,0.1151
752.0,0.1111
753.1,0.1085
754.0,0.1052
755.0,0.1026
756.1,0.0993
757.0,0.0973
757.9,0.094
759.0,0.0907
760.0,0.0887
760.9,0.0861
762.0,0.0835
763.0,0.0815
763.9,0.0788
765.0,0.0769
766.0,0.0749
767.1,0.0722
768.0,0.0696
769.0,0.0677
770.1,0.0657
771.0,0.0643
771.9,0.0624
773.1,0.0604
774.0,0.0591
774.9,0.0578
776.0,0.0558
777.0,0.0538
777.9,0.0525
779.0,0.0505
780.0,0.0492
