wavelength_nm,intensity
411.1,0.0071
412.0,0.0091
413.0,0.0097
414.1,0.0111
415.0,0.0124
415.9,0.0151
417.0,0.0184
418.0,0.0217
419.1,0.0257
420.0,0.027
421.0,0.0323
422.1,0.0377
423.0,0.0443
424.0,0.0509
425.1,0.0556
426.0,0.0643
426.9,0.0729
428.0,0.0828
429.0,0.0928
430.1,0.1048
431.0,0.1161
432.0,0.13
433.1,0.1433
434.0,0.1586
435.0,0.1739
436.1,0.1912
437.0,0.2091
437.9,0.227
439.0,0.2503
440.0,0.2742
440.9,0.2948
442.0,0.3214
443.0,0.3473
444.1,0.3686
445.0,0.3872
446.0,0.4131
447.1,0.4251
448.0,0.4357
448.9,0.4331
450.0,0.4264
451.0,0.4131
451.9,0.3978
453.0,0.3726
454.0,0.3453
455.1,0.3174
456.0,0.2895
457.0,0.2682
458.1,0.245
459.0,0.225
459.9,0.2098
461.0,0.1945
462.0,0.1792
462.9,0.1659
464.0,0.1573
465.0,0.144
466.1,0.134
467.0,0.126
468.0,0.1148
469.1,0.1068
470.0,0.0988
470.9,0.0908
472.0,0.0828
473.0,0.0762
473.9,0.0702
475.0,0.0669
476.0,0.0636
477.1,0.0596
478.0,0.0556
479.0,0.0543
480.1,0.0516
481.0,0.0503
481.9,0.0489
483.0,0.0476
484.0,0.0476
484.9,0.0456
486.0,0.0469
487.0,0.0463
488.1,0.0469
489.0,0.0476
490.0,0.0489
491.1,0.0509
492.0,0.0536
492.9,0.0556
494.0,0.0583
495.0,0.0623
495.9,0.0662
497.0,0.0702
498.0,0.0769
499.1,0.0815
500.0,0.0888
501.0,0.0955
502.1,0.1041
503.0,0.1121
503.9,0.1207
505.0,0.1287
506.0,0.1406
506.9,0.1506
508.0,0.1606
509.0,0.1732
510.1,0.1878
511.0,0.2025
512.0,0.2171
513.1,0.231
514.0,0.247
515.0,0.2649
516.0,0.2782
517.0,0.2962
517.9,0.3148
519.0,0.3307
520.0,0.346
521.1,0.3626
522.0,0.3846
523.0,0.3992
524.1,0.4164
525.0,0.4324
526.0,0.455
527.0,0.4663
528.0,0.4889
528.9,0.5055
530.0,0.5155
531.0,0.5314
532.1,0.5453
533.0,0.5593
534.0,0.57
535.1,0.5812
536.0,0.5905
537.0,0.6045
538.1,0.6145
539.0,0.6231
539.9,0.6337
541.0,0.6397
542.0,0.6484
543.1,0.651
544.0,0.6577
545.0,0.6577
546.1,0.6597
547.0,0.6656
548.0,0.6676
549.1,0.6696
550.0,0.6729
550.9,0.6763
552.0,0.6709
553.0,0.6782
553.9,0.6802
555.0,0.6743
556.0,0.6769
557.1,0.6723
558.0,0.6763
559.0,0.6716
560.1,0.6723
561.0,0.6709
561.9,0.6676
563.0,0.667
564.0,0.667
564.9,0.663
566.0,0.6636
567.0,0.6643
568.1,0.661
569.0,0.661
570.0,0.659
571.1,0.6583
572.0,0.6603
572.9,0.659
574.0,0.657
575.0,0.6583
575.9,0.6577
577.0,0.6557
578.0,0.6603
579.1,0.6623
580.0,0.6656
581.0,0.6683
582.1,0.665
583.0,0.6696
583.9,0.6709
585.0,0.6756
586.0,0.6763
586.9,0.6822
588.0,0.6836
589.0,0.6869
590.1,0.6909
591.0,0.6982
592.0,0.7015
593.1,0.7095
594.0,0.7102
594.9,0.7155
596.0,0.7208
597.0,0.7294
597.9,0.7334
599.0,0.7407
600.0,0.7534
601.1,0.752
602.0,0.762
603.0,0.7719
604.1,0.7766
605.0,0.7866
605.9,0.7932
607.0,0.7992
608.0,0.8112
608.9,0.8171
610.0,0.8258
611.0,0.8338
612.1,0.8437
613.0,0.8563
614.0,0.8636
615.1,0.8723
616.0,0.8776
616.9,0.8863
618.0,0.8929
619.0,0.9055
619.9,0.9122
621.0,0.9168
622.0,0.9268
623.1,0.9334
624.0,0.9348
625.0,0.9487
626.1,0.9507
627.0,0.9593
627.9,0.962
629.1,0.9667
630.0,0.9727
630.9,0.9833
632.0,0.982
633.0,0.9893
634.1,0.9866
635.0,0.9886
636.0,1.0
637.1,0.9966
638.0,0.9959
638.9,0.9992
640.1,0.9959
641.0,0.9972
641.9,0.9985
643.0,0.9979
644.0,0.9952
645.1,0.9939
646.0,0.9959
647.0,0.9919
648.1,0.9846
649.0,0.978
649.9,0.9753
651.1,0.972
652.0,0.9687
652.9,0.9693
654.0,0.9567
655.0,0.9514
656.1,0.9461
657.0,0.9401
658.0,0.9321
659.1,0.9255
660.0,0.9228
661.0,0.9075
662.0,0.9035
663.0,0.8922
663.9,0.8843
665.0,0.8763
666.0,0.865
666.9,0.8557
668.0,0.8451
669.0,0.8364
670.1,0.8251
671.0,0.8138
672.0,0.8058
673.0,0.7932
674.0,0.7813
674.9,0.7779
676.0,0.7646
677.0,0.7474
677.9,0.7427
679.0,0.7261
680.0,0.7161
681.1,0.7049
682.0,0.6942
683.0,0.6776
684.1,0.6703
685.0,0.6603
685.9,0.6464
687.0,0.6377
688.0,0.6271
688.9,0.6125
690.0,0.6052
691.0,0.5938
692.1,0.5812
693.0,0.566
694.0,0.5613
695.1,0.5467
696.0,0.5354
696.9,0.5287
698.0,0.5168
699.0,0.5055
699.9,0.4935
701.0,0.4862
702.0,0.4763
703.1,0.4643
704.0,0.4543
705.0,0.443
706.1,0.4357
707.0,0.4244
707.9,0.4131
709.0,0.4065
710.0,0.3965
710.9,0.3892
712.0,0.3779
713.0,0.3726
714.1,0.3606
715.0,0.3526
716.0,0.3453
717.1,0.3327
718.0,0.3287
718.9,0.3201
720.0,0.3128
721.0,0.3061
721.9,0.2982
723.0,0.2895
724.0,0.2795
725.1,0.2795
726.0,0.2676
727.0,0.2636
728.1,0.257
729.0,0.2477
729.9,0.2417
731.0,0.2377
732.0,0.2297
732.9,0.2231
734.0,0.2177
735.0,0.2124
736.1,0.2078
737.0,0.1992
738.0,0.1978
739.1,0.1912
740.0,0.1845
740.9,0.1805
742.0,0.1765
743.0,0.1712
743.9,0.1679
745.0,0.1633
746.0,0.158
747.1,0.154
748.0,0.1513
749.0,0.1466
750.1,0.142
751.0,0.1387
751.9,0.1333
753.0,0.1307
754.0,0.1254
754.9,0.1247
756.0,0.1201
757.0,0.1174
758.1,0.1141
759.0,0.1088
760.0,0.1061
761.1,0.1041
762.0,0.0995
762.9,0.0961
764.0,0.0968
765.0,0.0941
765.9,0.0901
767.0,0.0875
768.0,0.0855
769.1,0.0828
770.0,0.0822
771.0,0.0782
772.1,0.0749
773.0,0.0729
773.9,0.0722
775.1,0.0702
776.0,0.0676
776.9,0.0649
778.0,0.0636
779.0,0.0616
780.0,0.0596
