wavelength_nm,intensity
360.0,0.00001
361.0,0.00001
362.0,0.00166
370.0,0.00166
371.0,0.00001
372.0,0.00166
377.0,0.00166
378.0,0.00001
379.0,0.00166
382.0,0.00166
383.0,0.00001
384.0,0.00166
385.0,0.00166
386.0,0.00001
387.0,0.00166
393.0,0.00166
394.0,0.00001
395.0,0.00166
396.0,0.00001
397.0,0.00166
407.0,0.00166
408.0,0.00332
409.0,0.00166
410.0,0.00332
412.0,0.00332
413.0,0.00498
415.0,0.00498
416.0,0.00663
417.0,0.00663
423.0,0.01656
424.0,0.02153
425.0,0.02318
428.0,0.03311
429.0,0.03808
430.0,0.04470
431.0,0.04968
434.0,0.06954
436.0,0.08609
437.0,0.09934
438.0,0.10928
439.0,0.12087
441.0,0.15066
442.0,0.17054
443.0,0.19371
444.0,0.22186
445.0,0.25331
447.0,0.32947
450.0,0.46027
451.0,0.50000
452.0,0.52649
453.0,0.53973
454.0,0.54636
455.0,0.53311
456.0,0.50828
458.0,0.43874
460.0,0.36921
461.0,0.34603
462.0,0.32782
463.0,0.31291
464.0,0.30464
467.0,0.29967
468.0,0.29636
469.0,0.28808
471.0,0.27484
472.0,0.26656
473.0,0.25497
475.0,0.23510
477.0,0.22849
478.0,0.22682
480.0,0.23345
481.0,0.23842
482.0,0.24669
483.0,0.25662
484.0,0.26324
486.0,0.28312
487.0,0.28808
488.0,0.29967
489.0,0.30629
491.0,0.32285
492.0,0.32947
493.0,0.33941
494.0,0.34768
495.0,0.35927
497.0,0.37583
498.0,0.38245
499.0,0.39239
501.0,0.40894
502.0,0.41557
503.0,0.42053
504.0,0.42715
505.0,0.43212
506.0,0.43378
507.0,0.43874
508.0,0.44537
509.0,0.44537
510.0,0.44868
511.0,0.45365
512.0,0.45530
513.0,0.45861
514.0,0.46027
515.0,0.46854
516.0,0.46854
517.0,0.46689
518.0,0.46854
519.0,0.47185
520.0,0.47020
521.0,0.47516
522.0,0.47682
523.0,0.48013
524.0,0.48013
525.0,0.48344
526.0,0.48344
527.0,0.48179
528.0,0.48344
529.0,0.48841
530.0,0.49172
531.0,0.49338
532.0,0.49669
533.0,0.49835
534.0,0.50331
537.0,0.51325
538.0,0.51822
539.0,0.51822
540.0,0.52484
543.0,0.53973
544.0,0.54636
545.0,0.54801
546.0,0.55298
547.0,0.55960
548.0,0.56126
549.0,0.56622
550.0,0.57285
552.0,0.57616
553.0,0.58113
554.0,0.58775
555.0,0.59271
557.0,0.59602
558.0,0.60099
559.0,0.60761
560.0,0.61258
561.0,0.61589
562.0,0.61755
563.0,0.62252
564.0,0.63080
566.0,0.63080
567.0,0.63245
568.0,0.64073
570.0,0.64735
