wavelength_nm,intensity
360.0,0.00347
361.0,0.00174
362.0,0.00867
363.0,0.00174
364.0,0.00694
365.0,0.00347
366.0,0.00694
367.0,0.00347
368.0,0.00347
369.0,0.00521
371.0,0.00521
372.0,0.00347
373.0,0.00694
374.0,0.00347
375.0,0.00521
376.0,0.00521
377.0,0.00347
379.0,0.00347
380.0,0.00174
382.0,0.00521
383.0,0.00521
385.0,0.00174
386.0,0.00174
387.0,0.00347
388.0,0.00174
391.0,0.00174
392.0,0.00347
393.0,0.00347
394.0,0.00174
398.0,0.00174
399.0,0.00347
400.0,0.00001
401.0,0.00001
402.0,0.00174
404.0,0.00174
405.0,0.00347
411.0,0.00347
412.0,0.00521
413.0,0.00521
414.0,0.00694
415.0,0.00694
416.0,0.00867
417.0,0.00867
418.0,0.01214
420.0,0.01560
421.0,0.01560
424.0,0.02600
425.0,0.03120
426.0,0.03294
428.0,0.04333
430.0,0.05719
431.0,0.06759
432.0,0.07453
434.0,0.09879
436.0,0.12652
437.0,0.14212
439.0,0.18198
440.0,0.20797
442.0,0.26517
443.0,0.30503
445.0,0.40555
447.0,0.54766
451.0,0.89428
452.0,0.95494
453.0,0.99133
454.0,1.00000
455.0,0.97573
456.0,0.92548
457.0,0.86135
460.0,0.63951
461.0,0.59445
462.0,0.56153
463.0,0.54420
464.0,0.53034
465.0,0.52860
466.0,0.52860
467.0,0.52340
468.0,0.52167
470.0,0.49740
471.0,0.47487
472.0,0.44887
475.0,0.39342
476.0,0.37955
477.0,0.36915
478.0,0.37088
479.0,0.36915
480.0,0.37955
481.0,0.38475
482.0,0.39688
483.0,0.40208
486.0,0.43328
487.0,0.43847
489.0,0.45581
490.0,0.45927
491.0,0.47140
492.0,0.47661
494.0,0.49740
495.0,0.50433
496.0,0.50780
497.0,0.51820
499.0,0.53553
500.0,0.54073
501.0,0.54420
502.0,0.55112
503.0,0.55979
504.0,0.56153
505.0,0.56672
506.0,0.57020
507.0,0.57539
508.0,0.57366
509.0,0.57886
511.0,0.58233
512.0,0.58579
513.0,0.58752
515.0,0.59445
516.0,0.59445
517.0,0.59272
518.0,0.59619
519.0,0.59619
520.0,0.59445
521.0,0.59965
522.0,0.59792
524.0,0.60138
525.0,0.60138
526.0,0.60485
527.0,0.60659
528.0,0.60659
529.0,0.60832
530.0,0.61179
531.0,0.61179
532.0,0.61006
533.0,0.61525
534.0,0.62218
535.0,0.62392
538.0,0.63431
539.0,0.63258
541.0,0.64645
542.0,0.64472
543.0,0.64645
544.0,0.65165
547.0,0.66204
548.0,0.65858
550.0,0.66551
551.0,0.66204
553.0,0.67244
554.0,0.66725
556.0,0.67418
557.0,0.67418
558.0,0.67244
559.0,0.67418
560.0,0.67765
561.0,0.67418
562.0,0.67937
563.0,0.67765
564.0,0.67418
565.0,0.67418
566.0,0.67244
567.0,0.67765
568.0,0.67937
569.0,0.67591
570.0,0.67418
571.0,0.67591
572.0,0.67418
573.0,0.67591
574.0,0.67244
575.0,0.67765
576.0,0.67591
577.0,0.67244
578.0,0.67418
579.0,0.67418
580.0,0.67765
581.0,0.67591
582.0,0.67244
583.0,0.68111
584.0,0.67418
586.0,0.67765
587.0,0.67765
588.0,0.67937
589.0,0.67591
590.0,0.67937
591.0,0.67591
592.0,0.68284
593.0,0.68111
594.0,0.68111
595.0,0.68284
596.0,0.68631
597.0,0.68631
598.0,0.68804
599.0,0.68458
602.0,0.68977
604.0,0.68977
605.0,0.69670
607.0,0.69670
608.0,0.69845
609.0,0.69497
610.0,0.70018
611.0,0.70018
612.0,0.70538
613.0,0.70018
614.0,0.70364
617.0,0.70884
619.0,0.71924
620.0,0.72270
621.0,0.72270
623.0,0.73657
624.0,0.73657
625.0,0.74350
626.0,0.75217
627.0,0.76256
628.0,0.76603
629.0,0.77643
630.0,0.78163
631.0,0.79030
632.0,0.79723
633.0,0.81109
634.0,0.81976
635.0,0.82669
636.0,0.83709
637.0,0.84575
638.0,0.85788
639.0,0.86135
640.0,0.87695
641.0,0.88215
642.0,0.89428
643.0,0.90121
644.0,0.90294
645.0,0.90988
646.0,0.90988
647.0,0.91161
648.0,0.90468
649.0,0.90641
650.0,0.90294
651.0,0.89428
653.0,0.87002
654.0,0.85961
655.0,0.84402
656.0,0.82322
657.0,0.81282
658.0,0.79203
659.0,0.77816
662.0,0.72963
664.0,0.68977
666.0,0.65685
668.0,0.62045
669.0,0.60832
672.0,0.55806
674.0,0.52860
675.0,0.51474
676.0,0.49567
677.0,0.49047
679.0,0.45408
680.0,0.44368
681.0,0.42808
682.0,0.41594
683.0,0.40728
684.0,0.39342
686.0,0.36915
687.0,0.35529
688.0,0.34489
689.0,0.33103
690.0,0.32236
691.0,0.31196
692.0,0.30330
693.0,0.29116
695.0,0.27037
696.0,0.26344
697.0,0.25477
698.0,0.24437
699.0,0.23744
701.0,0.22011
702.0,0.20971
703.0,0.20971
704.0,0.19758
705.0,0.19065
706.0,0.18544
707.0,0.17851
708.0,0.17331
709.0,0.16292
710.0,0.15944
712.0,0.14905
713.0,0.14558
714.0,0.13865
715.0,0.13345
716.0,0.12652
718.0,0.11959
719.0,0.11265
720.0,0.11092
721.0,0.10572
724.0,0.09533
725.0,0.09013
726.0,0.08840
727.0,0.08492
728.0,0.08319
729.0,0.07973
730.0,0.07799
732.0,0.07106
733.0,0.06933
734.0,0.06586
735.0,0.06586
736.0,0.06066
737.0,0.06066
738.0,0.05546
739.0,0.05546
740.0,0.05026
742.0,0.05026
743.0,0.04680
744.0,0.04680
746.0,0.04333
747.0,0.03987
748.0,0.03987
752.0,0.03294
754.0,0.03294
755.0,0.02946
756.0,0.03120
757.0,0.02946
758.0,0.02600
759.0,0.02773
760.0,0.02427
761.0,0.02253
762.0,0.02253
763.0,0.02427
764.0,0.02253
765.0,0.02427
766.0,0.02080
767.0,0.01907
769.0,0.01907
770.0,0.02080
771.0,0.01733
774.0,0.01733
775.0,0.01560
776.0,0.01560
777.0,0.01387
778.0,0.01560
779.0,0.01387
781.0,0.01387
782.0,0.01214
783.0,0.01214
784.0,0.01387
785.0,0.01040
788.0,0.01040
789.0,0.00867
790.0,0.00867
791.0,0.00694
793.0,0.00694
794.0,0.00867
795.0,0.00694
798.0,0.00694
799.0,0.00521
800.0,0.00694
800.0,0.00694
