wavelength_nm,intensity
360.0,0.00128
365.0,0.00128
366.0,0.00255
367.0,0.00128
373.0,0.00128
374.0,0.00001
375.0,0.00128
386.0,0.00128
387.0,0.00255
388.0,0.00128
404.0,0.00128
405.0,0.00255
408.0,0.00255
409.0,0.00383
411.0,0.00383
412.0,0.00510
414.0,0.00510
419.0,0.01147
420.0,0.01402
421.0,0.01529
422.0,0.01784
423.0,0.01911
424.0,0.02421
425.0,0.02675
426.0,0.03058
428.0,0.04077
429.0,0.04714
430.0,0.05223
431.0,0.05987
433.0,0.07771
435.0,0.10064
437.0,0.12994
438.0,0.14777
439.0,0.16943
441.0,0.21784
442.0,0.24969
443.0,0.28663
444.0,0.33121
445.0,0.38089
446.0,0.44331
448.0,0.58981
450.0,0.76178
452.0,0.90955
453.0,0.96051
454.0,0.99490
455.0,1.00000
456.0,0.97070
457.0,0.92484
460.0,0.73121
461.0,0.67261
462.0,0.62675
463.0,0.59745
464.0,0.57325
465.0,0.56306
466.0,0.55542
467.0,0.55287
468.0,0.54395
469.0,0.53248
470.0,0.51593
471.0,0.50446
475.0,0.42166
477.0,0.38981
478.0,0.37962
479.0,0.37453
480.0,0.37198
481.0,0.37453
482.0,0.37962
483.0,0.38599
484.0,0.39363
485.0,0.39491
486.0,0.40127
487.0,0.40637
488.0,0.41402
489.0,0.41529
490.0,0.41784
491.0,0.42421
492.0,0.42293
493.0,0.42675
494.0,0.42930
495.0,0.43440
496.0,0.44076
497.0,0.44076
498.0,0.44586
499.0,0.44713
500.0,0.45605
501.0,0.45605
502.0,0.45987
504.0,0.46242
505.0,0.46752
507.0,0.46752
508.0,0.46879
509.0,0.47134
510.0,0.47006
512.0,0.47261
513.0,0.47134
514.0,0.47261
515.0,0.47516
516.0,0.47644
517.0,0.47389
518.0,0.48025
519.0,0.47644
520.0,0.47771
521.0,0.47644
522.0,0.48025
523.0,0.47771
524.0,0.48025
525.0,0.48153
526.0,0.48408
527.0,0.48153
530.0,0.48535
532.0,0.48535
533.0,0.48790
534.0,0.49172
535.0,0.49427
536.0,0.49300
537.0,0.49427
538.0,0.49427
539.0,0.49809
540.0,0.49936
541.0,0.50318
542.0,0.50318
544.0,0.50574
545.0,0.50829
547.0,0.50829
548.0,0.50574
550.0,0.50829
551.0,0.50574
552.0,0.50700
553.0,0.50700
554.0,0.50829
555.0,0.50700
556.0,0.50446
559.0,0.50446
560.0,0.50574
561.0,0.50064
562.0,0.49936
564.0,0.49936
565.0,0.49682
567.0,0.49682
568.0,0.49554
569.0,0.49045
570.0,0.49045
571.0,0.48790
573.0,0.48535
574.0,0.48281
575.0,0.48281
576.0,0.48408
577.0,0.48153
578.0,0.48025
579.0,0.47771
580.0,0.47644
581.0,0.47771
582.0,0.47644
583.0,0.47389
584.0,0.47516
585.0,0.47261
587.0,0.47261
588.0,0.47389
589.0,0.47261
590.0,0.47006
593.0,0.47006
595.0,0.46752
596.0,0.46752
597.0,0.47006
598.0,0.47134
600.0,0.46879
601.0,0.46879
604.0,0.46497
605.0,0.46879
606.0,0.46879
607.0,0.46624
608.0,0.46752
609.0,0.46624
610.0,0.46879
611.0,0.47006
612.0,0.47261
613.0,0.46879
614.0,0.47134
615.0,0.47006
616.0,0.47389
617.0,0.47516
618.0,0.47516
619.0,0.47644
620.0,0.47644
623.0,0.48408
624.0,0.48535
626.0,0.49045
627.0,0.49554
628.0,0.49809
630.0,0.50829
631.0,0.51083
633.0,0.51847
634.0,0.52612
635.0,0.53248
636.0,0.53376
637.0,0.54013
638.0,0.54395
639.0,0.55031
640.0,0.55287
642.0,0.56051
643.0,0.56561
644.0,0.56688
645.0,0.56688
646.0,0.57070
647.0,0.56816
648.0,0.56688
649.0,0.56433
650.0,0.56051
651.0,0.55287
652.0,0.55031
653.0,0.54013
654.0,0.53121
655.0,0.52101
656.0,0.51338
657.0,0.50064
658.0,0.49172
659.0,0.47899
660.0,0.46879
661.0,0.45987
663.0,0.43694
664.0,0.42803
665.0,0.41529
666.0,0.40510
667.0,0.39363
668.0,0.38726
670.0,0.36178
672.0,0.34395
673.0,0.33377
674.0,0.32739
676.0,0.30700
677.0,0.29809
678.0,0.28790
679.0,0.28026
680.0,0.27389
681.0,0.26498
683.0,0.25223
684.0,0.24076
685.0,0.23313
686.0,0.22421
687.0,0.22039
688.0,0.21529
689.0,0.20637
690.0,0.19873
693.0,0.17962
694.0,0.17198
698.0,0.15160
699.0,0.14523
702.0,0.12994
704.0,0.12230
705.0,0.11720
707.0,0.10955
708.0,0.10447
709.0,0.10064
710.0,0.09936
714.0,0.08408
715.0,0.08281
717.0,0.07516
720.0,0.06752
722.0,0.06498
723.0,0.06116
724.0,0.05860
725.0,0.05733
726.0,0.05351
728.0,0.05096
729.0,0.04841
730.0,0.04714
731.0,0.04459
738.0,0.03568
739.0,0.03313
740.0,0.03313
745.0,0.02675
746.0,0.02675
748.0,0.02421
750.0,0.02421
751.0,0.02166
752.0,0.02166
754.0,0.01911
756.0,0.01911
757.0,0.01784
758.0,0.01784
759.0,0.01656
760.0,0.01656
761.0,0.01529
762.0,0.01529
763.0,0.01402
764.0,0.01402
765.0,0.01274
768.0,0.01274
769.0,0.01147
771.0,0.01147
772.0,0.01020
774.0,0.01020
775.0,0.00892
779.0,0.00892
780.0,0.00765
784.0,0.00765
785.0,0.00638
788.0,0.00638
789.0,0.00510
790.0,0.00638
791.0,0.00510
796.0,0.00510
797.0,0.00383
798.0,0.00510
799.0,0.00383
800.0,0.00383
