wavelength_nm,intensity
360.0,0.00307
361.0,0.00307
362.0,0.00919
363.0,0.00460
364.0,0.00154
365.0,0.00307
366.0,0.00307
367.0,0.00154
369.0,0.00154
370.0,0.00307
371.0,0.00154
372.0,0.00307
373.0,0.00154
374.0,0.00307
375.0,0.00307
376.0,0.00001
377.0,0.00154
378.0,0.00001
379.0,0.00001
381.0,0.00307
382.0,0.00154
384.0,0.00154
385.0,0.00001
387.0,0.00307
389.0,0.00001
390.0,0.00001
391.0,0.00154
392.0,0.00154
393.0,0.00307
394.0,0.00001
395.0,0.00307
396.0,0.00307
397.0,0.00001
398.0,0.00154
399.0,0.00154
400.0,0.00001
401.0,0.00154
411.0,0.00154
412.0,0.00307
415.0,0.00307
416.0,0.00460
417.0,0.00460
418.0,0.00766
420.0,0.00766
421.0,0.00919
422.0,0.00919
423.0,0.01225
424.0,0.01225
425.0,0.01532
426.0,0.01685
427.0,0.01991
428.0,0.02144
429.0,0.02603
430.0,0.02757
431.0,0.03217
433.0,0.03829
434.0,0.04288
435.0,0.04901
436.0,0.05360
437.0,0.05973
438.0,0.06432
439.0,0.07351
440.0,0.07810
443.0,0.11026
445.0,0.14089
447.0,0.18683
449.0,0.24350
452.0,0.32772
453.0,0.34916
454.0,0.35682
455.0,0.35223
456.0,0.33997
457.0,0.32006
459.0,0.26800
461.0,0.22665
462.0,0.21746
463.0,0.20675
464.0,0.20215
465.0,0.20827
466.0,0.20827
468.0,0.21134
470.0,0.21134
472.0,0.19602
473.0,0.19296
474.0,0.18224
475.0,0.17458
476.0,0.17305
478.0,0.16692
479.0,0.16999
480.0,0.17458
481.0,0.17765
482.0,0.18683
483.0,0.19143
484.0,0.19755
486.0,0.21593
487.0,0.22206
488.0,0.22512
489.0,0.23277
490.0,0.24196
491.0,0.24655
492.0,0.25728
493.0,0.26034
494.0,0.26953
498.0,0.29403
499.0,0.30321
501.0,0.31547
502.0,0.32313
503.0,0.32619
506.0,0.33997
507.0,0.34150
508.0,0.34763
510.0,0.35069
512.0,0.35682
514.0,0.35988
515.0,0.36294
517.0,0.36601
518.0,0.36906
519.0,0.36754
520.0,0.37060
521.0,0.37672
522.0,0.37519
524.0,0.37519
525.0,0.37979
526.0,0.38132
527.0,0.38132
528.0,0.38438
529.0,0.38438
530.0,0.39051
531.0,0.39051
532.0,0.39357
533.0,0.39970
534.0,0.40123
535.0,0.40582
536.0,0.40582
537.0,0.40889
538.0,0.41654
539.0,0.41960
540.0,0.42420
541.0,0.42726
542.0,0.43339
544.0,0.43952
545.0,0.44564
546.0,0.45023
547.0,0.45177
548.0,0.45789
549.0,0.46248
551.0,0.46860
552.0,0.47780
554.0,0.48392
556.0,0.49311
557.0,0.49617
559.0,0.50536
560.0,0.51148
562.0,0.51762
564.0,0.52986
565.0,0.52833
566.0,0.53293
567.0,0.54365
569.0,0.54671
570.0,0.55283
571.0,0.55590
572.0,0.56049
573.0,0.56661
574.0,0.56815
575.0,0.57428
576.0,0.58193
577.0,0.58806
578.0,0.58652
579.0,0.59418
580.0,0.60031
581.0,0.60337
582.0,0.61103
583.0,0.61408
584.0,0.62021
585.0,0.62328
586.0,0.63094
587.0,0.63399
588.0,0.63859
589.0,0.64013
591.0,0.65237
592.0,0.65544
593.0,0.66310
597.0,0.68147
598.0,0.68147
599.0,0.68913
600.0,0.69066
601.0,0.69984
602.0,0.70138
603.0,0.70903
604.0,0.71057
605.0,0.71516
606.0,0.71822
607.0,0.72435
608.0,0.72588
609.0,0.73048
610.0,0.73660
611.0,0.73507
612.0,0.73813
613.0,0.74579
614.0,0.74885
615.0,0.75038
616.0,0.75651
617.0,0.76110
618.0,0.76876
619.0,0.77488
620.0,0.77642
621.0,0.78101
624.0,0.80398
625.0,0.80704
626.0,0.81623
627.0,0.82389
628.0,0.83308
629.0,0.84839
630.0,0.85299
631.0,0.86064
632.0,0.87289
633.0,0.88668
634.0,0.89739
635.0,0.90506
636.0,0.91424
637.0,0.92649
638.0,0.93568
639.0,0.94793
641.0,0.96631
643.0,0.98162
644.0,0.98775
645.0,0.99234
646.0,0.99847
647.0,0.99234
648.0,1.00000
649.0,0.98775
650.0,0.98928
651.0,0.97856
652.0,0.96937
653.0,0.95865
654.0,0.94181
655.0,0.92955
656.0,0.91118
657.0,0.89587
659.0,0.86064
660.0,0.83767
662.0,0.79939
663.0,0.78561
665.0,0.74119
666.0,0.72894
667.0,0.70598
668.0,0.69066
669.0,0.66922
671.0,0.63399
672.0,0.62021
673.0,0.60031
674.0,0.58499
675.0,0.56661
676.0,0.55283
677.0,0.53446
680.0,0.49311
681.0,0.47627
682.0,0.46248
683.0,0.44564
684.0,0.43645
685.0,0.41807
686.0,0.41042
687.0,0.39511
688.0,0.38438
689.0,0.36906
690.0,0.36141
691.0,0.34763
692.0,0.33690
694.0,0.31240
695.0,0.30321
696.0,0.29556
697.0,0.28484
698.0,0.27259
699.0,0.26187
700.0,0.25421
701.0,0.24503
702.0,0.23737
703.0,0.23124
704.0,0.22206
705.0,0.21593
706.0,0.20521
707.0,0.19908
710.0,0.17611
712.0,0.16692
713.0,0.15927
714.0,0.15468
717.0,0.13630
718.0,0.13324
719.0,0.12711
720.0,0.12252
721.0,0.12098
722.0,0.11639
723.0,0.11026
724.0,0.10873
725.0,0.10261
726.0,0.10108
727.0,0.09495
728.0,0.09342
729.0,0.08883
731.0,0.08270
732.0,0.07657
733.0,0.07810
734.0,0.07351
736.0,0.06739
738.0,0.06432
739.0,0.05973
740.0,0.05819
741.0,0.05514
742.0,0.05514
743.0,0.05207
746.0,0.04748
747.0,0.04441
748.0,0.04441
749.0,0.04135
750.0,0.04135
752.0,0.03829
753.0,0.03829
754.0,0.03522
755.0,0.03522
756.0,0.03217
757.0,0.03217
759.0,0.02910
760.0,0.03063
761.0,0.02603
762.0,0.02757
763.0,0.02450
765.0,0.02450
768.0,0.01991
770.0,0.01991
771.0,0.01838
773.0,0.01838
774.0,0.01685
776.0,0.01685
777.0,0.01532
778.0,0.01532
779.0,0.01379
781.0,0.01379
783.0,0.01072
784.0,0.01072
785.0,0.01225
786.0,0.01072
787.0,0.01225
788.0,0.01072
790.0,0.01072
791.0,0.00919
792.0,0.01072
793.0,0.00919
795.0,0.00919
796.0,0.00766
800.0,0.00766
800.0,0.00766
