wavelength_nm,intensity
360.0,0.00503
361.0,0.01105
362.0,0.00803
363.0,0.00603
365.0,0.00603
366.0,0.00301
367.0,0.00301
368.0,0.00201
369.0,0.00603
370.0,0.00301
371.0,0.00402
372.0,0.00201
373.0,0.00301
374.0,0.00201
375.0,0.00301
376.0,0.00201
377.0,0.00301
378.0,0.00301
379.0,0.00201
382.0,0.00201
383.0,0.00001
384.0,0.00201
385.0,0.00201
386.0,0.00101
387.0,0.00201
388.0,0.00201
389.0,0.00101
395.0,0.00101
396.0,0.00001
397.0,0.00201
399.0,0.00001
400.0,0.00201
401.0,0.00101
402.0,0.00201
403.0,0.00101
404.0,0.00201
405.0,0.00101
406.0,0.00201
407.0,0.00201
408.0,0.00301
409.0,0.00201
410.0,0.00201
411.0,0.00402
412.0,0.00301
413.0,0.00301
417.0,0.00703
418.0,0.00703
419.0,0.01004
421.0,0.01205
423.0,0.01607
424.0,0.01908
425.0,0.02310
426.0,0.02611
427.0,0.03213
428.0,0.03615
429.0,0.04117
430.0,0.04820
431.0,0.05322
434.0,0.08334
437.0,0.12550
439.0,0.16667
440.0,0.19177
442.0,0.25502
443.0,0.30121
445.0,0.41767
446.0,0.48996
448.0,0.66165
450.0,0.84136
451.0,0.92469
452.0,0.97591
453.0,1.00000
454.0,0.99297
455.0,0.96184
456.0,0.91767
458.0,0.76405
460.0,0.63253
461.0,0.59036
462.0,0.56024
463.0,0.54016
464.0,0.52510
465.0,0.51908
466.0,0.51708
467.0,0.50402
468.0,0.49398
470.0,0.46285
472.0,0.41065
473.0,0.38956
475.0,0.35242
477.0,0.33133
478.0,0.32530
479.0,0.32530
481.0,0.32732
482.0,0.33234
483.0,0.33434
484.0,0.34137
485.0,0.34639
487.0,0.34840
488.0,0.35342
489.0,0.35342
490.0,0.35442
491.0,0.35743
492.0,0.35643
493.0,0.36145
494.0,0.36245
495.0,0.36848
496.0,0.36948
497.0,0.37551
498.0,0.37451
499.0,0.37751
500.0,0.37851
501.0,0.38052
502.0,0.38755
504.0,0.38755
505.0,0.38956
506.0,0.38956
507.0,0.39057
508.0,0.39057
509.0,0.39257
510.0,0.39057
511.0,0.39057
512.0,0.39257
513.0,0.39057
514.0,0.39357
515.0,0.39559
517.0,0.39157
518.0,0.39357
519.0,0.39458
520.0,0.39257
521.0,0.39458
522.0,0.39357
523.0,0.39458
524.0,0.39458
525.0,0.39559
526.0,0.39559
527.0,0.39659
528.0,0.39659
529.0,0.39759
530.0,0.40060
531.0,0.39859
532.0,0.40060
533.0,0.40161
535.0,0.40562
537.0,0.40161
538.0,0.40663
539.0,0.40863
540.0,0.40763
541.0,0.41065
542.0,0.41065
543.0,0.40964
544.0,0.41065
545.0,0.41065
546.0,0.41265
547.0,0.40964
548.0,0.41065
549.0,0.41365
550.0,0.40964
551.0,0.40863
